SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL,AREA_KM2,CURRENT_DENSITY,NORMAL_DENSITY,DENSITY_SCORE
41210,광명시,231606.53,238378.8290715288,-2.8,47.2,21.0,보통,38.52183895998646,6012.343549864666,6188.147697703074,72.68780225236311
41220,평택시,430289.96,446393.5685813464,-3.6,46.4,39.5,보통,459.1375177877208,937.1701142465596,972.2437206443528,50.055442925681504
41250,동두천시,75487.46,77079.19850771388,-2.1,47.9,6.4,보통,95.84716524380516,787.5815607898633,804.1886091429886,47.939430712849365
41270,안산시,496472.36,505872.4704221599,-1.9,48.1,45.7,보통,172.74734087109573,2873.9797527214514,2928.395122444417,63.69804417775746
41271,안산시 상록구,189324.23,192471.6100192847,-1.6,48.4,17.0,보통,58.35186727445162,3244.527362072823,3298.4653106988944,65.17493292861356
41273,안산시 단원구,325769.0,331201.53017180925,-1.6,48.4,29.7,보통,114.39547359664412,2847.743794030297,2895.232824854753,63.58636272645681
41280,고양시,876987.08,914517.6024863254,-4.1,45.9,81.2,보통,266.38092728100514,3292.229248360813,3433.119674974332,65.35268218955959
41281,고양시 덕양구,373599.2,397187.0871395512,-5.9,44.1,34.2,보통,165.14620914507134,2262.2329748533,2405.063302365272,60.783409910338605
41285,고양시 일산동구,311163.63,316776.4911009818,-1.8,48.2,28.4,보통,59.94187210558723,5191.089618487177,5284.728020222357,70.89889446725655
41287,고양시 일산서구,233560.94,243329.5359992988,-4.0,46.0,21.1,보통,41.29284603034657,5656.208337598079,5892.777064106292,71.94406745558807
41290,과천시,95981.61,111251.78820231416,-13.7,36.3,8.3,여유,35.82075589503451,2679.497056992732,3105.791193472161,62.84475379485678
41310,구리시,242719.36,253419.3305971248,-4.2,45.8,22.0,보통,33.16806763352157,7317.862550264875,7640.461102443139,75.08130986597388
41360,남양주시,509766.08,532394.3415518934,-4.3,45.7,46.9,보통,459.32413922265215,1109.817744093995,1159.0819991583792,52.11328443185334
41370,오산시,202688.34,207407.7172482469,-2.3,47.7,18.2,보통,42.63017199853311,4754.574764722377,4865.279859893217,69.82905995046235
41390,시흥시,335347.87,356982.93401823286,-6.1,43.9,30.6,보통,141.53616174315636,2369.344101675945,2522.203015975837,61.346730064852196
41410,군포시,205275.07,207316.9499042777,-1.0,49.0,18.5,보통,36.37696714288568,5642.995722917106,5699.126842816611,71.91558194756946
41430,의왕시,129503.93,143676.88730364657,-9.9,40.1,11.4,보통,53.86315929375728,2404.313666298617,2667.442630315572,61.52514224857504
41450,하남시,314081.42,327698.3820718794,-4.2,45.8,28.7,보통,92.7615727048274,3385.900118354234,3532.695409494989,65.69435299068006
41460,용인시,865772.38,896520.2966469144,-3.4,46.6,80.2,보통,591.3020547391442,1464.179556050993,1516.1799108620023,55.48633944043073
41461,용인시 처인구,256307.37,272200.86585448805,-5.8,44.2,23.3,보통,467.49733955926143,548.2541788187217,582.2511548645573,43.53339882662509
41463,용인시 기흥구,372148.51,383354.3962650772,-2.9,47.1,34.1,보통,81.69763070599596,4555.193422184362,4692.356350512157,69.30729072416074
41465,용인시 수지구,259678.08,264240.5010252454,-1.7,48.3,23.6,보통,42.10708447388676,6167.087634885826,6275.440447298542,72.99732945472091
41480,파주시,344435.0,363638.08581872366,-5.3,44.7,31.5,보통,688.7715099445438,500.0714968999401,527.9516945292959,42.41491004833164
41500,이천시,219840.73,227981.3414221599,-3.6,46.4,19.9,보통,461.5017222332758,476.3595007536654,493.9988962964734,41.82432468972691
41550,안성시,193299.3,209283.86330329592,-7.6,42.4,17.4,보통,552.8972441178863,349.6116178122703,378.5221675995066,38.06497562743044
41570,김포시,392918.66,415818.5534309257,-5.5,44.5,36.0,보통,280.82891086638733,1399.1389233672692,1480.6828547248958,54.93318528084931
41590,화성시,718435.21,759882.018807153,-5.5,44.5,66.4,보통,794.94320673876,903.7566506761752,955.8947260201834,49.61364799233846
41610,광주시,304518.34,323404.3546732118,-5.8,44.2,27.8,보통,429.6477255064436,708.7628350436433,752.7198108450399,46.65657282271621
41630,양주시,228201.51,242204.9155687237,-5.8,44.2,20.6,보통,310.2504874743375,735.5395695192125,780.6753747284854,47.10770920218326
41650,포천시,138087.3,149977.9004326788,-7.9,42.1,12.2,보통,825.1579633988365,167.34650348790987,181.75659338597168,29.127364676434404
41670,여주시,121398.43,134811.10871143057,-9.9,40.1,10.7,보통,606.8707882714343,200.03999590387645,222.14137064566333,31.289475302897312
41800,연천군,43427.62,47018.35759957924,-7.6,42.4,3.4,보통,696.3817790512982,62.36179823539145,67.51807559300843,17.223256989819053
41820,가평군,94961.27,101708.4059663394,-6.6,43.4,8.2,보통,840.070586994449,113.03963199062402,121.0712617974464,24.382617981765883
41830,양평군,135816.52,149606.61148106592,-9.2,40.8,12.0,보통,876.0891832926138,155.02590671141442,170.76641777358563,28.20148076507147
43110,청주시,664569.77,659765.2307275597,0.7,50.7,61.4,보통,939.2622232973742,707.5444466050824,702.429219831058,46.635642531942025
43111,청주시 상당구,175584.46,171998.0444004208,2.1,52.1,15.7,보통,403.02896372062366,435.662137974068,426.76348323106726,40.738757382400244
43112,청주시 서원구,146173.85,140567.84856030854,4.0,54.0,13.0,보통,122.98132126960373,1188.5857827104724,1143.0016128396528,52.94787897303599
43113,청주시 흥덕구,239605.05,237839.8375213885,0.7,50.7,21.7,보통,198.61935140677315,1206.3529978470626,1197.4655834732418,53.12848410700614
43114,청주시 청원구,163672.44,164362.74062342217,-0.4,49.6,14.6,보통,214.6325869003736,762.5703177867027,765.7865145133563,47.54678724860478
43130,충주시,231578.02,241564.6607601683,-4.1,45.9,20.9,보통,980.8176931413536,236.1070988210909,246.2890529497764,33.299654993414194
43150,제천시,98773.87,102983.04061991585,-4.1,45.9,8.5,보통,881.9904010368086,111.98973354345816,116.76208777199378,24.269942850624748
43720,보은군,38725.67,39909.33147896213,-3.0,47.0,2.9,보통,583.2039020903073,66.40159618479962,68.43118047722234,17.976216118612637
43730,옥천군,61295.2,64559.10513499299,-5.1,44.9,5.0,보통,541.2288930770738,113.25189912075008,119.28244400987556,24.40527239357773
43740,영동군,44170.43,46307.65229417953,-4.6,45.4,3.4,보통,852.0128441818135,51.84244615750692,54.350885213061176,15.011602613732563
43745,증평군,40677.07,42171.82830259467,-3.5,46.5,3.1,보통,81.82914663808897,497.0975706236446,515.3643907483324,42.34239097960937
43750,진천군,67841.0,72290.55037517531,-6.2,43.8,5.7,보통,407.8086794265196,166.35496845089546,177.2658455352981,29.05540059259773
43760,괴산군,38597.0,45905.83745617111,-15.9,34.1,2.9,여유,841.3876476760087,45.87302904506445,54.55967601018071,13.551280402160904
